author;first_commit;2014-01-01;2014-02-01;2014-03-01;2014-04-01;2014-05-01;2014-06-01;2014-07-01;2014-08-01;2014-09-01;2014-10-01;2014-11-01;2014-12-01;2015-01-01;2015-02-01;2015-03-01;2015-04-01;2015-05-01;2015-06-01;2015-07-01;2015-08-01;2015-09-01;2015-10-01;2015-11-01;2015-12-01;2016-01-01;2016-02-01;2016-03-01;2016-04-01;2016-05-01;2016-06-01;2016-07-01;2016-08-01;2016-09-01;2016-10-01;2016-11-01;2016-12-01;2017-01-01;2017-02-01;2017-03-01;2017-04-01;2017-05-01;2017-06-01;2017-07-01;2017-08-01;2017-09-01;2017-10-01;2017-11-01;2017-12-01;2018-01-01;2018-02-01;2018-03-01;2018-04-01;2018-05-01;2018-06-01;2018-07-01;2018-08-01;2018-09-01;2018-10-01;2018-11-01
Maxim Degtyarev;2017-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Maxim Kropotov;2016-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;4;10;3;11;8;5;4;2;5;3;0;3;4;4;5;4;5;3;4;2;9;4;0
Maxim.Kolmakov;2015-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;2;0;0;0;0;0;2;23;2;2;15;52;1;0;13;12;0;2;6;3;7;2;6;2;0
Maxim.Mossienko;2014-01-01;27;32;24;56;34;21;60;31;29;44;35;37;33;18;27;22;34;40;60;26;19;25;55;22;10;18;23;22;41;38;29;7;15;17;43;6;8;12;30;34;45;30;23;33;17;18;31;27;18;2;8;15;9;6;4;1;23;17;0
Maxime;2015-05-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Michael Golubev;2014-01-01;2;6;10;8;7;7;9;5;2;5;5;6;4;3;10;0;4;4;0;4;4;4;1;0;7;3;1;1;1;1;0;1;2;4;0;0;5;2;4;1;0;0;12;13;10;1;6;1;4;1;8;0;4;2;3;4;0;3;0
Michael Plump;2017-02-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Michael Siepmann;2018-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
Mikhail Filippov;2018-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;0;2;0;0;0
Mikhail Glukhikh;2017-05-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mikhail Golubev;2014-01-01;31;30;27;35;2;5;29;46;57;74;50;38;30;33;65;59;29;30;39;1;125;62;27;15;14;18;18;20;6;43;17;32;28;62;23;15;18;7;53;19;2;28;52;14;7;44;11;21;12;11;27;12;4;55;7;30;5;92;0
Mikhail Sokolov;2018-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;52;46;26;24;29;31;0
Nadya Zabrodina;2014-01-01;14;23;32;10;22;12;2;33;21;32;41;30;7;8;12;12;23;8;12;20;15;13;30;31;22;10;37;19;10;22;15;33;12;23;27;13;23;19;30;10;44;28;14;6;0;39;5;4;9;13;0;0;0;0;0;0;3;0;0
Nicholas Sherlock;2017-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Nicolay Mitropolsky;2017-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;11;7;6;4;8;16;18;18;34;24;5;9;14;9;9;29;21;8;0
Nikita Skvortsov;2017-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;19;9;6;16;42;6;11;28;13;21;25;13;29;0
Nikolaj Schumacher;2016-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nikolay Korolev;2018-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Nikolay Krasko;2017-05-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nikolay Kuznetsov;2017-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0
Nikolay Mikhaylov;2015-05-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;13;13;8;1;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nikolay.Kuznetsov;2017-07-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nikolay.Tropin;2015-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
Oleg Stepanov;2018-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
Oleg Sukhodolsky;2014-03-01;0;0;2;1;1;3;2;0;5;4;0;5;0;9;4;2;2;4;4;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Olga Strizhenko;2017-07-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;17;7;16;12;34;18;3;5;1;0;1;0;1;0;0
OlgaJP;2017-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pap Lőrinc;2015-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pavel Dolgov;2016-02-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;27;31;20;28;48;40;43;17;33;12;16;24;16;16;6;17;10;11;3;22;19;14;10;16;18;19;14;17;14;5;13;23;0
Pavel Fatin;2014-03-01;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;13;12;1;1;0;2;0;0;0;0;0;0;1;0;6;0;21;12;2;1;0;4;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pavel V. Talanov;2015-01-01;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Petr Kudriavtsev;2017-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;10;3;1;1;4;3;0;0;0;2;0
Philipp Smorygo;2015-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Piotr Tomiak;2018-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;7;6;0
RX14;2016-02-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raluca Sauciuc;2017-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rohan Joyce;2018-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Roman;2017-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;9;0;0;0;0;0;0;0;0;0;0;0;0
Roman Ivanov;2017-07-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;11;13;0;5;5;35;6;0;0;0;0;0;0;0;0;0
Roman Shevchenko;2014-01-01;41;56;86;55;54;75;57;41;69;91;51;70;61;66;40;70;47;73;93;28;82;74;76;64;57;76;67;89;69;48;78;72;121;114;90;83;94;93;88;90;68;54;82;88;71;98;72;61;78;70;61;87;42;68;57;58;51;71;0
Roman.Ivanov;2018-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;28;33;35;23;5;4;14;0
Rustam Vishnyakov;2014-01-01;4;4;7;10;4;0;4;13;12;14;6;2;9;9;11;9;5;4;13;6;15;6;5;5;10;15;10;15;25;25;6;18;19;16;23;20;8;30;12;29;25;28;9;21;30;42;37;17;21;18;17;39;38;28;17;13;22;24;0
Ryan Prichard;2016-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sam Hanes;2016-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Semyon Kolton;2017-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;1;2;1;0;0;0;1;0
Semyon Proshev;2016-02-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;16;11;26;23;35;15;39;44;39;7;42;30;21;8;25;46;15;34;18;47;36;41;50;57;46;38;57;30;26;2;0;45;0
Serega Vasiliev;2014-01-01;1;0;0;2;1;2;1;0;2;0;0;0;0;0;1;1;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergej Zagursky;2016-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergey Evdokimov;2014-01-01;19;35;26;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergey Ignatov;2014-01-01;2;4;19;29;11;28;40;31;49;45;45;28;7;4;3;21;13;6;2;16;39;39;18;5;12;6;19;7;12;6;2;3;4;23;4;3;1;6;30;10;19;21;7;5;6;0;5;0;36;27;38;11;38;14;13;15;35;82;0
Sergey Karashevich;2016-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;13;15;4;0;2;20;16;10;28;29;29;15;14;0;22;31;17;24;7;13;21;26;7;22;0
Sergey Malenkov;2014-06-01;0;0;0;0;0;1;37;30;62;73;27;31;13;18;31;31;22;19;45;15;33;49;13;21;38;46;40;29;12;16;54;2;43;27;24;22;13;45;37;71;39;12;44;19;41;62;52;37;19;38;62;93;28;38;57;34;103;70;0
Sergey Patrikeev;2017-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Sergey Savenko;2014-07-01;0;0;0;0;0;0;8;15;8;12;8;22;3;13;2;14;8;14;6;8;9;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergey Simonchik;2014-01-01;23;36;3;14;12;15;17;22;16;18;5;3;8;12;6;5;6;6;21;19;19;13;20;9;10;6;10;13;15;12;4;12;19;22;11;14;14;22;10;7;8;11;3;2;12;30;9;7;5;15;7;11;36;12;21;10;14;27;0
Sergey Tselovalnikov;2015-07-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergey.Anchipolevsky;2018-01-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;19;1;1;0;2;1;5;0;0;0
Shaverdova Elena;2014-01-01;1;0;1;0;0;0;0;0;1;0;1;2;1;1;1;0;0;0;0;1;4;2;7;0;0;2;1;3;7;12;1;0;7;0;5;8;0;0;3;1;0;9;0;0;10;1;0;1;0;0;0;0;4;5;0;5;1;0;0
Simon Ogorodnik;2017-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stanislav Dombrovsky;2017-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;3;2;1;3;5;3;4;2;0;0;0;0;0;0;0;0;0
Stanislav Erokhin;2014-08-01;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stiver;2014-03-01;0;0;6;1;1;2;4;14;2;6;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sugak Andrey;2018-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0
Svetlana.Zemlyanskay;2014-01-01;5;0;1;4;3;0;1;1;10;10;0;8;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Svetlana.Zemlyanskaya;2015-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;3;0;0;0;1;0;0;0;2;1;2;0;0;0;11;0;1;0;5;0;0;0;8;17;9;2;5;31;6;9;8;10;0
Tagir Valeev;2016-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;19;118;56;51;85;71;73;72;45;87;33;32;47;126;85;77;65;110;97;104;83;135;104;136;63;144;132;0
Timur Yuldashev;2017-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Tobias Bieniek;2015-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tom Lundell;2016-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valentin Fondaratov;2014-06-01;0;0;0;0;0;3;4;1;7;10;0;3;0;3;3;1;4;1;0;5;1;1;28;5;4;4;1;2;1;4;12;3;9;1;1;8;7;7;1;1;3;2;1;0;0;2;1;0;2;1;0;0;29;3;4;0;0;1;0
Valentina Kiryushkina;2015-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;33;11;25;27;26;16;39;44;36;15;31;10;45;53;20;10;13;91;20;12;6;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0
Vasily Pisar;2015-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;1;2;1;4;0;3;14;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vasily Romanikhin;2016-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;11;3;5;3;1;2;3;2;1;1;5;2;2;0
Vassiliy;2014-01-01;9;11;25;31;20;16;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vassiliy Kudryashov;2014-01-01;2;4;7;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vassiliy.Kudryashov;2014-08-01;0;0;0;0;0;0;0;13;15;24;10;19;6;27;34;20;11;18;76;9;26;26;14;16;2;11;22;17;28;10;16;4;16;21;23;26;19;39;44;18;27;19;28;17;17;28;22;37;10;27;28;27;25;25;30;22;24;35;0
Viktor Shatrov;2018-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;2;2;6;1;1;0
Viktoria.Shirunova;2018-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;22;61;34;41;44;30;0
Vitaliy Bibaev;2016-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;35;3;1;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
Vitaliy.Bibaev;2016-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;8;11;10;51;215;111;116;74;70;33;181;43;31;67;24;19;25;14;33;19;5;2;4;2;0
Vitaliy.bibaev;2017-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vitaly Provodin;2018-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
Viuginov Nickolay;2017-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;1;0;0;0;0
Vladimir Dubovik;2014-07-01;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vladimir Koshelev;2018-01-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;1;2;1;0;2;9;0
Vladimir Krivosheev;2014-01-01;74;181;100;180;53;16;88;185;160;217;114;86;67;127;57;25;24;79;163;223;164;138;64;47;58;74;38;82;26;81;113;131;177;71;110;216;111;80;72;151;191;17;17;58;28;46;35;101;111;85;138;164;95;29;75;261;195;162;0
Vladimir Orlov;2014-01-01;5;21;8;1;1;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vladimir Plyashkun;2017-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;5;3;3;0;0;0;0;0;0;0;0;2;1;0;0;0
Vladimir.Orlov;2014-07-01;0;0;0;0;0;0;9;26;32;19;3;3;4;19;11;8;6;20;14;9;14;10;6;14;13;9;24;12;3;12;10;10;4;6;6;12;8;14;11;7;10;12;13;4;9;2;13;3;10;3;0;16;7;3;9;5;10;32;0
Vladislav Rassokhin;2016-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;4;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;0;2;13;3;0
Vladislav Shishov;2018-07-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;15;5;2;0
Vladislav.Soroka;2014-01-01;22;24;8;34;23;16;19;12;17;19;13;28;12;28;31;33;6;4;42;29;13;35;29;47;10;21;29;26;20;22;2;19;42;45;26;20;9;28;45;54;38;34;14;91;47;34;53;35;29;50;41;53;37;29;30;42;3;36;0
Vojtech Krasa;2014-05-01;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vyacheslav Gerasimov;2017-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vyacheslav Karpukhin;2014-01-01;4;0;5;1;5;0;5;0;2;3;0;0;0;10;8;7;4;1;8;3;0;2;0;0;0;1;0;5;3;1;0;7;0;2;0;0;1;0;1;0;0;1;0;0;2;0;3;1;0;3;3;0;5;1;2;2;0;1;0
Xavier Fournet;2014-04-01;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yann Cébron;2014-01-01;17;14;14;13;50;13;17;15;18;26;19;8;6;8;7;9;21;29;10;20;5;44;14;21;3;9;16;10;5;4;0;15;26;7;16;4;2;20;26;4;3;15;10;13;8;2;21;0;4;5;5;7;4;22;1;8;13;5;0
Yann Diorcet;2015-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yaroslav Lepenkin;2014-01-01;7;8;3;5;13;9;20;2;22;14;13;32;43;36;31;28;15;27;20;17;25;24;63;170;35;26;95;56;45;32;31;88;40;60;29;6;30;35;65;87;81;0;9;16;13;42;7;0;0;0;0;0;0;0;0;0;0;0;0
Yaroslav Pankratyev;2017-07-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;32;20;19;28;13;2;0;2;15;8;16;3;13;15;11;0
